model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4.1-nano	6.2	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4o	9.0	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1	10.3	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-mini	10.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5.1	21.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
o4-mini	23.8	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5	69.4	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-nano	7.8	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1	8.3	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4o	8.4	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-mini	10.6	0	5	5	1.0	0.0	1.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5.1	15.4	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
o4-mini	27.8	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5	80.3	4	0	4	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-nano	7.8	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4o	10.2	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1	10.2	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-mini	14.4	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5.1	15.8	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
o4-mini	42.5	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5	90.2	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-nano	6.6	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1	7.7	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4o	8.4	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-mini	10.3	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5.1	13.1	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
o4-mini	32.9	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5	79.2	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-nano	7.0	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1	8.1	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4o	8.3	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-mini	10.3	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5.1	12.1	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5	73.8	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
o4-mini	636.9	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-nano	11.4	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-mini	12.6	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1	13.5	2	3	5	0.6	0.4	0.6	0.24	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5.1	17.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
o4-mini	40.9	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4o	67.0	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5	123.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-nano	7.8	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4o	9.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1	10.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-mini	12.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5.1	14.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
o4-mini	24.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5	71.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-nano	7.7	2	3	5	0.6	0.4	0.6	0.24	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4o	9.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1	11.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-mini	11.4	2	3	5	0.6	0.4	0.6	0.24	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5.1	12.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
o4-mini	23.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-5	68.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_agent_SRC-001_20260224_232007
gpt-4.1-nano	7.3	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-mini	10.8	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1	12.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5.1	13.5	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
o4-mini	30.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-5	52.3	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4o	67.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_wrong_instruction_SRC-001_20260224_232526
gpt-4.1-nano	6.1	5	0	5	0.0	1.0	0.0	0.0	compliance_gated_pipeline_COMP-002_20260225_121731
