model	secs_taken	Score_False	Score_True	num_runs	success_rate	failure_rate	mean_score	variance	trace_id
gpt-4.1-nano	6.0	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1	6.5	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4o	6.9	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-mini	7.4	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5.1	9.0	3	2	5	0.4	0.6	0.4	0.24	two_agent_sequence_EVAL-001_20260224_223201
o4-mini	27.8	0	5	5	1.0	0.0	1.0	0.0	two_agent_sequence_EVAL-001_20260224_223201
gpt-5	109.8	1	4	5	0.8	0.2	0.8	0.16000000000000003	two_agent_sequence_EVAL-001_20260224_223201
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4o	8.0	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-mini	8.1	1	4	5	0.8	0.2	0.8	0.16000000000000003	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1	8.3	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5.1	11.1	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
o4-mini	43.2	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-5	101.3	5	0	5	0.0	1.0	0.0	0.0	bad_multiple_speakers_SRC-001_20260224_224148
gpt-4.1-nano	6.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-mini	8.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1	8.6	0	5	5	1.0	0.0	1.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5.1	13.1	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4o	13.2	1	4	5	0.8	0.2	0.8	0.16000000000000003	checkpoint_enabled_SRC-001_20260225_120527
o4-mini	37.5	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-5	81.4	5	0	5	0.0	1.0	0.0	0.0	checkpoint_enabled_SRC-001_20260225_120527
gpt-4.1-nano	5.4	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1	7.4	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4o	7.5	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-mini	9.0	0	5	5	1.0	0.0	1.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5.1	11.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
o4-mini	28.8	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-5	62.9	5	0	5	0.0	1.0	0.0	0.0	function_based_random_selector_SRC-001_20260224_224743
gpt-4.1-nano	5.6	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-mini	6.8	0	5	5	1.0	0.0	1.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4o	6.9	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1	8.8	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5.1	10.7	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
o4-mini	34.3	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-5	94.3	5	0	5	0.0	1.0	0.0	0.0	max_messages_termination_HITL-001_20260224_225518
gpt-4.1-nano	6.6	4	1	5	0.2	0.8	0.2	0.16000000000000003	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-mini	9.4	0	5	5	1.0	0.0	1.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1	11.2	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5.1	12.9	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
o4-mini	53.1	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4o	67.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-5	114.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_ignores_output_SRC-001_20260224_230143
gpt-4.1-nano	7.7	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4o	8.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-mini	8.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1	9.4	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5.1	10.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
o4-mini	56.6	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-5	132.8	5	0	5	0.0	1.0	0.0	0.0	bad_ledger_infinite_loop_SRC-001_20260224_231504
gpt-4.1-nano	6.9	3	2	5	0.4	0.6	0.4	0.24	bad_ledger_wrong_agent_SRC-001_20260224_232007
