path,ground_truth
regenerated_converted_data\sequential\two_agent_sequence_EVAL-001_20260224_223201.json,1
regenerated_converted_data\group_chat\bad_multiple_speakers_SRC-001_20260224_224148.json,0
regenerated_converted_data\group_chat\checkpoint_enabled_SRC-001_20260225_120527.json,0
regenerated_converted_data\group_chat\function_based_random_selector_SRC-001_20260224_224743.json,0
regenerated_converted_data\group_chat\max_messages_termination_HITL-001_20260224_225518.json,0
regenerated_converted_data\magentic\bad_ledger_ignores_output_SRC-001_20260224_230143.json,0
regenerated_converted_data\magentic\bad_ledger_infinite_loop_SRC-001_20260224_231504.json,0
regenerated_converted_data\magentic\bad_ledger_wrong_agent_SRC-001_20260224_232007.json,0
regenerated_converted_data\magentic\bad_ledger_wrong_instruction_SRC-001_20260224_232526.json,0
regenerated_converted_data\magentic\compliance_gated_pipeline_COMP-002_20260225_121731.json,0
regenerated_converted_data\magentic\multi_position_hiring_MS-001_20260224_230725.json,1
regenerated_converted_data\magentic\pipeline_with_communication_E2E-002_20260224_233216.json,0
regenerated_converted_data\magentic\plan_review_auto_approval_PLAN-001_20260224_233638.json,0
regenerated_converted_data\magentic\stakeholder_driven_evaluation_PLAN-003_20260224_234526.json,0
regenerated_converted_data\sequential\two_agent_sequence_EVAL-002_20260224_223237.json,1
regenerated_converted_data\group_chat\compliance_gated_pipeline_COMP-003_20260225_121557.json,1
regenerated_converted_data\group_chat\function_based_random_selector_SRC-002_20260224_224846.json,0
regenerated_converted_data\magentic\multi_position_hiring_MS-002_20260224_231030.json,0
regenerated_converted_data\magentic\bad_ledger_wrong_agent_SCHED-001_20260224_232248.json,0
converted_data\group_chat\bad_manager_premature_finish_COMM-001_20260216_213138.json,0
converted_data\group_chat\bad_manager_wrong_agent_EVAL-001_20260216_212204.json,0
converted_data\group_chat\function_based_round_robin_EVAL-001_20260216_203404.json,0
converted_data\group_chat\multi_interview_scheduling_SCHED-001_20260216_214607.json,1
converted_data\group_chat\sourcing_with_all_channels_SRC-003_20260216_214819.json,1
converted_data\magentic\bad_ledger_premature_done_EVAL-001_20260216_210640.json,0
converted_data\magentic\multi_interview_scheduling_SCHED-001_20260216_215817.json,1
converted_data\magentic\parallel_position_pipeline_PLAN-002_20260216_203042.json,0
converted_data\magentic\sourcing_with_all_channels_SRC-003_20260216_220639.json,1
converted_data\handoff\bad_specialist_wrong_tool_EVAL-001_20260216_194834.json,0
converted_data\magentic\bad_facts_hallucinated_SRC-001_20260216_212644.json,0
converted_data\magentic\bad_plan_never_updates_EVAL-001_20260216_211606.json,0
converted_data\handoff\specialist_tool_use_SCHED-001_20260216_162942.json,0
converted_data\workflow_dag\fan_out_fan_in_topology_MS-001_20260216_161419.json,1
converted_data\magentic\market_research_driven_hiring_MKT-001_20260216_223038.json,1
converted_data\magentic\single_tool_execution_EVAL-001_20260216_164213.json,0
converted_data\magentic\urgent_hiring_with_constraints_PLAN-002_20260224_235216.json,0
converted_data\sequential\single_agent_sequence_SRC-001_20260216_193128.json,1
converted_data\concurrent\function_aggregator_MS-002_20260216_192629.json,1
converted_data\workflow_dag\fan_out_fan_in_topology_MS-002_20260216_161500.json,1
converted_data\workflow_dag\complex_dag_topology_E2E-001_20260216_161546.json,1
converted_data\handoff\bad_specialist_ignores_result_EVAL-001_20260216_164906.json,0
converted_data\handoff\sequential_handoffs_E2E-001_20260216_161637.json,1
converted_good_scenarios_data\group_chat\good_evaluate_and_schedule_EVAL-003_20260301_155951.json,1
converted_good_scenarios_data\group_chat\good_scheduling_and_communication_SCHED-001_20260301_154344.json,1
converted_good_scenarios_data\magentic\good_evaluation_scheduling_pipeline_EVAL-001_20260226_154321.json,1
converted_good_scenarios_data\magentic\good_evaluation_scheduling_pipeline_SCHED-001_20260226_154713.json,1
converted_good_scenarios_data\magentic\good_full_team_sourcing_pipeline_MS-001_20260226_152549.json,1
converted_good_scenarios_data\magentic\good_full_team_sourcing_pipeline_SRC-001_20260226_151858.json,1
converted_good_scenarios_data\magentic\good_multichannel_hiring_pipeline_MS-001_20260226_155231.json,1
converted_good_scenarios_data\sequential\bad_structure_wrong_order_SRC-001_20260301_141822.json,0
converted_good_scenarios_data\sequential\bad_structure_missing_agents_EVAL-001_20260301_141909.json,0
converted_good_scenarios_data\concurrent\bad_structure_wrong_parallel_agents_SRC-001_20260301_142218.json,0
converted_good_scenarios_data\workflow_dag\bad_structure_reversed_dag_SRC-001_20260301_142612.json,0
converted_good_scenarios_data\workflow_dag\bad_structure_missing_dag_node_EVAL-001_20260301_142641.json,1
