Package,Date,LatestVersion,Score,PyTyped,Pyright,Mypy,Samples,Verifytypes,SDKTeamOwned,Active
azure-agrifood-farming,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-anomalydetector,2023-01-12T09:23:15.920243Z,3.0.0b6,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-formrecognizer,2023-01-12T09:23:15.920243Z,3.2.0,2.9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
azure-ai-language-conversations,2023-01-12T09:23:15.920243Z,1.1.0b3,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-language-questionanswering,2023-01-12T09:23:15.920243Z,1.1.0,60.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-metricsadvisor,2023-01-12T09:23:15.920243Z,1.0.0,2.2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-ml,2023-01-12T09:23:15.920243Z,1.2.0,26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-ai-personalizer,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
azure-ai-textanalytics,2023-01-12T09:23:15.920243Z,5.3.0b1,48,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
azure-ai-translation-document,2023-01-12T09:23:15.920243Z,1.0.0,50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
azure-appconfiguration,2023-01-12T09:23:15.920243Z,1.3.0,33.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-appconfiguration-provider,2023-01-12T09:23:15.920243Z,1.0.0b1,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-batch,2023-01-12T09:23:15.920243Z,13.0.0,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-chat,2023-01-12T09:23:15.920243Z,1.1.0,7.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-email,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-identity,2023-01-12T09:23:15.920243Z,1.3.1,14.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-networktraversal,2023-01-12T09:23:15.920243Z,1.1.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-phonenumbers,2023-01-12T09:23:15.920243Z,1.1.0b3,21.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-rooms,2023-01-12T09:23:15.920243Z,1.0.0b2,12.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-communication-sms,2023-01-12T09:23:15.920243Z,1.0.1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-confidentialledger,2023-01-12T09:23:15.920243Z,1.0.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-containerregistry,2023-01-12T09:23:15.920243Z,1.1.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core,2023-01-12T09:23:15.920243Z,1.26.2,36.8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-core-experimental,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opencensus,2023-01-12T09:23:15.920243Z,1.0.0b8,77.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-core-tracing-opentelemetry,2023-01-12T09:23:15.920243Z,1.0.0b9,77.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-cosmos,2023-01-12T09:23:15.920243Z,4.3.1b1,77.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-data-tables,2023-01-12T09:23:15.920243Z,12.4.1,4.2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
azure-developer-devcenter,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-developer-loadtesting,2023-01-12T09:23:15.920243Z,1.0.0b2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-digitaltwins-core,2023-01-12T09:23:15.920243Z,1.2.0,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventgrid,2023-01-12T09:23:15.920243Z,4.9.1,20,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub,2023-01-12T09:23:15.920243Z,5.10.1,19.4,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-eventhub-checkpointstoreblob,2023-01-12T09:23:15.920243Z,1.1.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-eventhub-checkpointstoreblob-aio,2023-01-12T09:23:15.920243Z,1.1.4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-identity,2023-01-12T09:23:15.920243Z,1.13.0b1,11.4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
azure-iot-deviceupdate,2023-01-12T09:23:15.920243Z,1.0.0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-iot-modelsrepository,2023-01-12T09:23:15.920243Z,1.0.0b1,66.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-keyvault-administration,2023-01-12T09:23:15.920243Z,4.3.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-certificates,2023-01-12T09:23:15.920243Z,4.6.0,19,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-keys,2023-01-12T09:23:15.920243Z,4.8.0b2,5.9,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-keyvault-secrets,2023-01-12T09:23:15.920243Z,4.6.0,14.3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
azure-maps-geolocation,2023-01-12T09:23:15.920243Z,1.0.0b1,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-render,2023-01-12T09:23:15.920243Z,1.0.0b1,23.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-route,2023-01-12T09:23:15.920243Z,1.0.0b1,3.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-maps-search,2023-01-12T09:23:15.920243Z,1.0.0b2,16.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-messaging-webpubsubservice,2023-01-12T09:23:15.920243Z,1.1.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-mgmt-core,2023-01-12T09:23:15.920243Z,1.3.2,13.9,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-mixedreality-authentication,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-mixedreality-remoterendering,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
azure-monitor-ingestion,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-monitor-opentelemetry-exporter,2023-01-12T09:23:15.920243Z,1.0.0b11,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-monitor-query,2023-01-12T09:23:15.920243Z,1.0.3,45.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
azure-purview-administration,2023-01-12T09:23:15.920243Z,1.0.0b1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-purview-catalog,2023-01-12T09:23:15.920243Z,1.0.0b4,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-purview-scanning,2023-01-12T09:23:15.920243Z,1.0.0b2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
azure-schemaregistry,2023-01-12T09:23:15.920243Z,1.3.0b1,33.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
azure-schemaregistry-avroencoder,2023-01-12T09:23:15.920243Z,1.0.0,66.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
